Nombre,Dirección,Notas
ADEOM,"913, Román Guerra, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",
Veterinaria EL SABIÁ,"Juan Manuel Blanes, Sauce de Portezuelo, Ocean Park, Maldonado, 20000, Uruguay",
Laferre,"Del Portezuelo, Punta Ballena, Maldonado, 20003, Uruguay",
Inmobiliaria Pucurull,"Del Portezuelo, Punta Ballena, Maldonado, 20003, Uruguay",
Museo Casapueblo,"Mar de Liguria, Punta Ballena, Maldonado, 20003, Uruguay",
OLA Restaurante,"Del Portezuelo, Punta Ballena, Maldonado, 20003, Uruguay",
Veterinaria del mar,"1053, Solís, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",
Casa La Alegría,"3, Régulo, Las Delicias, Pinares - Las Delicias, Maldonado, 20000, Uruguay",Casa La Alegría
Clínica Veterinaria Aiguá,"Cyber Video, Avenida Aiguá, Barrio Rivera, Sarubbi, Maldonado, 20000, Uruguay",
Espiga Dorada,"Espiga Dorada, Avenida Antonio Lussich, La Sonrisa, Cerro Pelado, Maldonado, 20000, Uruguay",
Gral. Jose de San Martin 23,"24, San Martín, Juana de América, Paso Carrasco, Municipio de Paso Carrasco, Canelones, 15000, Uruguay",
Club de Pesca Ute-Antel,"Acceso a Las Grutas, Punta Ballena, Maldonado, 20003, Uruguay",
Clinica Veterinaria LOPEZ QUINTANA,"892, 25 de Mayo, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",
PAPELERIA OUTSIDE,"841, José Dodera, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",
CURE Sede Campus,"Universidad de la República - CENUR Este, Tacuarembó, Barrio San Fernando, Maldonado, 20000, Uruguay",
Multiespacio Mahuá,"Las Garzas, El Pejerrey, Maldonado, 20000, Uruguay",
Sarandí 472 Florida,"470, Sarandí, Florida, 94000, Uruguay",
Unión Vecinal Punta Ballena y Lagunas del Sauce y del Diario,"Avenida Antonio Lussich, Punta Ballena, Maldonado, 20003, Uruguay",De martes a viernes de 13 a 17 hs
Bar El Hormiguero,"Katy's, 1644, San Salvador, Palermo, Montevideo, 11200, Uruguay",
Finisterre Bar,"Finisterre, Gaboto, Cordón, Montevideo, 11200, Uruguay",
"Los Mochos Portezuelo, Punta Ballena","2025, Ostreros, Punta Ballena, Maldonado, 20000, Uruguay",
"Espadas Tatoo, 25 de Mayo 477 Piso 2. Of. 50","475,477,481,485, 25 de Mayo, Ciudad Vieja, Montevideo, 11000, Uruguay",
Club Cultural Charco,"1479, Maldonado, Barrio Sur, Montevideo, 11110, Uruguay",
Cambalache Bar,"1192,1194, Salto, Palermo, Montevideo, 11200, Uruguay",
Feria de Frutas y Verduras,"Santos Negro González, Piriápolis, Maldonado, 20200, Uruguay",
Mercadillo de Sauce,"Sauce de Portezuelo, Maldonado, 20004, Uruguay",Sábados: de 19 a 23; Invierno: 13 a 16
Primitivo. Arte y gastronomía,"32, Uruguay, Piriápolis, Maldonado, 20200, Uruguay",
Sindicato Gastronómico y Hotelero del Uruguay - S.U.G.H.U.-P.I.T.-C.N.T.,"1062, Zelmar Michelini, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",De 9 a 18 hs
Joaquín Artigas 3819,"3831, Joaquín Artigas, Cerrito, Bolívar, Montevideo, 12000, Uruguay",
Salón Aquí Todo,"329, José Enrique Rodó, Canelones, 90000, Uruguay",
Joyería Veiga,"617, Asamblea, San José, 80000, Uruguay",
Veiga Joya,"369, José Enrique Rodó, Canelones, 90000, Uruguay",
Barrio Los 8,"Barrio Nueva Esperanza, Lomas de Solymar, Ciudad de la Costa, Municipio de Ciudad de la Costa, Canelones, 15006, Uruguay",Lunes a viernes de 13 a 19 hs.
"Qué Rico Pan, Panadería Artesanal","Que Rico Pan, Avenida José Joaquín de Viana, Barrio Centro, Sarubbi, Maldonado, 20000, Uruguay",8 a 15 hs
Bartolomé Mitre & Camacuá,"Ciudad Vieja, Montevideo, 11000, Uruguay",Llamar al 098029338
Centro Cultural Kavlin,"10, Calderon de la Barca, Punta Del Este, Maldonado, 20000, Uruguay",Lunes a viernes de 15 a 21 hs.
Julio Herrera y Obes 1222,"1222, Julio Herrera y Obes, Barrio Sur, Montevideo, 11110, Uruguay",Mañanas hasta 13 hs.
Casa Tenerife: Cuba entre Colombia y Martinica,"17, Cuba, Las Delicias, Pinares - Las Delicias, Maldonado, 20000, Uruguay",Coordinar 098942316
"Casa Isla Bonita, Gaviotín & Bigua","23, Gaviotín, Punta Ballena, Maldonado, 20000, Uruguay",Coordinar 094533700
HOPE Surf Shop,"5, Bulevar General José Gervasio Artigas, Punta Del Este, Maldonado, 20100, Uruguay",De 19 a 23 hs
Club de Balleneros,"Mar Adriático, Punta Ballena, Maldonado, 20003, Uruguay",
El Popu,"12, Camino del Cerro Eguzquiza, El Tesoro, Maldonado, 20000, Uruguay",De 9 a 24 hs
Polo Educativo Tecnológico Arrayanes (UTU),"Polo Educativo Tecnológico Arrayanes, Camino de Los Arrayanes, Maldonado, Uruguay",De 9 a 16 hs
Marina del este,"12, Ruta 39, Monte Hermoso, Maldonado, 20400, Uruguay",Administración
Marina del este,"10, Ruta 39, Monte Hermoso, Maldonado, 20400, Uruguay",Depto. B294
Velsen 4546,"4540,4546, Velsen, Malvín Nuevo, Montevideo, 11400, Uruguay",Coordinar 098945906
